HostCorrectedName	ParasiteCorrectedName	LocationName	LongitudeDecimal	LatitudeDecimal	Accuracy	Extent_km2	ParasiteType	CloseT	Sexual	Vertical	Nonclose	Vector	Intermediate
Spermophilus undulatus	Citellophilus martinoi	Stara Planina: Ponor	22.8098	43.247	2	2							
Spermophilus undulatus	Citellophilus martinoi	Jakupica, Solunsko Pole	21.4036	41.7041	2	3							
Spermophilus undulatus	Citellophilus martinoi	Jakupica: Gorno Begovo, Begovo Pole	21.4036	41.7041	2	3							
Spermophilus citellus	Citellophilus martinoi	Backa (Melenci)	19.9092	45.6943	4	2							
Spermophilus citellus	Citellophilus simplex	Mongilev-Podolskii, Vinickaya Region	27.8054	48.4426	2	2							
Spermophilus citellus	Citellophilus simplex	MOLDAVIA	28.583	47.25	2	4							
Spermophilus suslicus	Citellophilus simplex	MOLDAVIA	28.583	47.25	2	4							
Spermophilus citellus	Citellophilus simplex	ROMANIA	25	46	2	4							
Spermophilus citellus	Citellophilus simplex	HUNGARY	19.5033	47.1625	2	4							
Spermophilus sp.	Citellophilus simplex	TURKEY	35	39	2	4							
Spermophilus citellus	Citellophilus simplex	TURKEY	35	39	2	4							
Spermophilus citellus	Citellophilus simplex	Moldava nad Bodvou	20.9994	48.6142	2	2							
Spermophilus citellus	Citellophilus simplex	South Slovakian Karst	20.5833	48.5833	2	2							
Spermophilus sp.	Citellophilus simplex	Latovka, Kherson Region	33.2519	47.7747	2	2							
Spermophilus citellus	Citellophilus simplex	Malcoci	28.8881	45.1383	2	2							
Spermophilus citellus	Citellophilus simplex	Nalepkovo	20.6203	48.8422	2	2							
Spermophilus undulatus	Citellophilus simplex	Sencur, Voglje	14.4366	46.2144	2	2							
Spermophilus undulatus	Citellophilus simplex	EUROPE	16.5	51	4	4							
Spermophilus suslicus	Citellophilus simplex	EUROPE	16.5	51	4	4							
Spermophilus undulatus	Citellophilus simplex	Deliblatska Pescara: Samos	21.1142	44.8939	2	2							
Spermophilus undulatus	Citellophilus simplex	Deliblatska Pescara: Susara	21.1142	44.8939	2	2							
Spermophilus undulatus	Citellophilus simplex	Banat: Banatska Palanka	21.3333	44.85	2	2							
Spermophilus undulatus	Citellophilus simplex	Dojransko jezero, Acikot	22.7162	41.2402	3	2							
Spermophilus undulatus	Citellophilus simplex	Deliblatska Pescara: Deliblato	21.1142	44.8939	2	2							
Spermophilus undulatus	Citellophilus simplex	Deliblatska Pescara: Deliblato	21.1142	44.8939	2	2							
Spermophilus undulatus	Citellophilus simplex	Deliblatska Pescara: Deliblato	21.1142	44.8939	2	2							
Spermophilus undulatus	Citellophilus sp.	Banat: Melenci	20.3253	45.5221	2	2							
Spermophilus musicus	Citellophilus tesquorum	Elbrus Region, Caucasus	42.4419	43.355	2	2							
Spermophilus dauricus	Citellophilus tesquorum	Wuningbatu Sumu, Zhengxiangbai Banner, Inner Mongolia	114.881	42.4179	2	2							
Spermophilus alashanicus	Citellophilus tesquorum	Qinghai Province	95	36	2	4							
Spermophilus undulatus	Ctenotaenia citelli	Baikal Lake Basin, Buryatskaya	109.04	53.38	3	4							
Spermophilus undulatus	Ctenotaenia citelli	Tuva	95.6262	51.8872	4	4							
Spermophilus undulatus	Ctenotaenia citelli	Buryatia	109	53	2	4							
Spermophilus undulatus	Catenotaenia cricetorum	Baikal Lake Basin, Buryatskaya	109.04	53.38	3	4							
Spermophilus undulatus	Catenotaenia cricetorum	Tuva	95.6262	51.8872	4	4							
Spermophilus undulatus	Catenotaenia cricetorum	Yakutia	124.124	66.7614	2	4							
Spermophilus undulatus	Catenotaenia cricetorum	Buryatia	109	53	2	4							
Sciurus vulgaris	Cladotaenia globifera	Brest and Gomel regions	27.453	52.348	4	4							
Tamias minimus	Coltivirus sp.	Rocky Mountain National Park, Colorado	-105.708	40.3333	2	2							
Spermophilus lateralis	Coltivirus sp.	Rocky Mountain National Park, Colorado	-105.708	40.3333	2	2							
Tamias umbrinus	Coltivirus sp.	Rocky Mountain National Park, Colorado	-105.708	40.3333	2	2							
Spermophilus elegans	Coltivirus sp.	Rocky Mountain National Park, Colorado	-105.708	40.3333	2	2							
Tamias minimus	Coltivirus sp.	Moraine Park in Rocky Mountain National Park, Colorado	-105.603	40.3533	2	2							
Spermophilus lateralis	Coltivirus sp.	Moraine Park in Rocky Mountain National Park, Colorado	-105.603	40.3533	2	2							
Spermophilus elegans	Coltivirus sp.	Moraine Park in Rocky Mountain National Park, Colorado	-105.603	40.3533	2	2							
Tamias minimus	Coltivirus sp.	Beaver Meadow transect, Rocky Mountain National Park, Colorado	-105.651	40.8421	2	2							
Spermophilus lateralis	Coltivirus sp.	Beaver Meadow transect, Rocky Mountain National Park, Colorado	-105.651	40.8421	2	2							
